Navn;Index_Value;UB_Snitt;UB
1260 Radøy;1,07;48096,50;51381,32
1263 Lindås;1,04;48096,50;49991,53
1264 Austrheim;1,11;48096,50;53319,29
1265 Fedje;1,59;48096,50;76537,96
1266 Masfjorden;1,32;48096,50;63510,54
1401 Flora;1,04;48096,50;49930,50
1411 Gulen;1,29;48096,50;62187,42
1412 Solund;1,39;48096,50;67073,67
1413 Hyllestad;1,25;48096,50;60040,34
1416 Høyanger;1,12;48096,50;54048,59
1417 Vik;1,20;48096,50;57477,19
1418 Balestrand;1,33;48096,50;63740,03
1419 Leikanger;1,07;48096,50;51618,79
1420 Sogndal;0,99;48096,50;47487,56
1421 Aurland;1,19;48096,50;57152,61
1422 Lærdal;1,13;48096,50;54418,69
1424 Årdal;1,02;48096,50;48962,75
1426 Luster;1,16;48096,50;55654,42
1428 Askvoll;1,23;48096,50;59054,61
1429 Fjaler;1,28;48096,50;61681,04
1430 Gaular;1,20;48096,50;57883,28
1431 Jølster;1,17;48096,50;56371,24
1432 Førde;1,00;48096,50;47954,56
1433 Naustdal;1,17;48096,50;56157,29
1438 Bremanger;1,25;48096,50;60082,53
1439 Vågsøy;1,09;48096,50;52189,05
1441 Selje;1,15;48096,50;55430,99
1443 Eid;1,06;48096,50;51121,89
1444 Hornindal;1,25;48096,50;59990,61
1445 Gloppen;1,18;48096,50;56647,26
1449 Stryn;1,12;48096,50;53767,14
1502 Molde;0,95;48096,50;45701,81
1504 Ålesund;0,94;48096,50;45330,89
1505 Kristiansund;0,97;48096,50;46594,96
1511 Vanylven;1,20;48096,50;57509,70
1514 Sande;1,17;48096,50;56394,93
1515 Herøy;1,01;48096,50;48449,40
1516 Ulstein;1,00;48096,50;48008,34
1517 Hareid;1,05;48096,50;50274,82
1519 Volda;1,03;48096,50;49316,42
1520 Ørsta;1,05;48096,50;50577,89
1523 Ørskog;1,12;48096,50;53933,67
1524 Norddal;1,30;48096,50;62509,92
1525 Stranda;1,10;48096,50;52937,49
1526 Stordal;1,36;48096,50;65188,92
1528 Sykkylven;1,05;48096,50;50464,84
1529 Skodje;1,06;48096,50;51110,35
1531 Sula;1,07;48096,50;51487,42
